TS,V1,V2,V3,W1,W2,W3,Virtual_Apartment,date_time,day,date,time,power
1482809400,228.2592335,229.440014,230.0632265,16.60952723,36.78656906,65.19035266,3,27/12/16 3:30,10,12/27/2016,3:30:00,118.5864489
1482813000,227.5842308,230.7169786,229.0502713,0,49.67590893,65.75072261,3,27/12/16 4:30,10,12/27/2016,4:30:00,115.4266315
1482816600,229.5205574,232.4865386,229.629934,4.021107769,77.6294755,68.05124815,3,27/12/16 5:30,10,12/27/2016,5:30:00,149.7018314
1482820200,231.9924725,234.7477488,232.0217362,0,57.35486691,51.95839834,3,27/12/16 6:30,10,12/27/2016,6:30:00,109.3132652
1482823800,234.8691881,237.1391709,234.9334965,18.28963684,48.9974824,46.66846528,3,27/12/16 7:30,10,12/27/2016,7:30:00,113.9555845
1482827400,231.7547619,234.5264202,232.1478086,65.9449564,14.24029658,89.18918276,3,27/12/16 8:30,10,12/27/2016,8:30:00,169.3744357
1482831000,231.4748688,233.8083801,231.8197444,0,1.309896666,1.491859868,3,27/12/16 9:30,10,12/27/2016,9:30:00,2.801756535
1484112600,232.5151831,235.948752,233.9017029,0,0,12.59553719,3,11/01/17 5:30,1,01/11/17,5:30:00,12.59553719
1484116200,234.5476814,236.4921887,234.8835852,0,0,25.17028234,3,11/01/17 6:30,1,01/11/17,6:30:00,25.17028234
1484119800,238.8861485,240.3181553,239.8450155,12.64617465,0,71.6442272,3,11/01/17 7:30,1,01/11/17,7:30:00,84.29040185
1484123400,234.7242192,238.6354691,236.2253985,195.7928894,0,138.7124758,3,11/01/17 8:30,1,01/11/17,8:30:00,334.5053652
1484127000,234.9458543,237.3881744,235.766605,37.66263578,40.22434047,153.5598947,3,11/01/17 9:30,1,01/11/17,9:30:00,231.4468709
1484130600,236.6564514,239.5172298,237.3789619,31.14308765,33.35340525,48.75405861,3,11/01/17 10:30,1,01/11/17,10:30:00,113.2505515
1484134200,239.8170315,242.4645777,240.3724078,20.5319715,28.1467661,68.11536029,3,11/01/17 11:30,1,01/11/17,11:30:00,116.7940979
1484137800,236.9121673,239.6853543,238.0750851,0,85.21409182,71.53486298,3,11/01/17 12:30,1,01/11/17,12:30:00,156.7489548
1484141400,237.0841169,239.9337575,238.8954943,0,66.63283875,138.7780026,3,11/01/17 13:30,1,01/11/17,13:30:00,205.4108414
1484145000,237.7194562,241.6965493,239.8105117,137.5781463,59.19749832,134.6740511,3,11/01/17 14:30,1,01/11/17,14:30:00,331.4496957
